Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
20947,7452,118,13477,12409,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17975,7263,57,10710,10268,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
19849,6936,47,12911,11991,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18219,6274,35,11944,11177,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
19121,6982,47,12138,11221,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17269,7132,49,10121,9704,1,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18551,6303,46,12247,11402,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
19433,7748,48,11684,10712,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
8242,6093,34,2147,2041,1,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17912,6369,48,11542,10723,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17906,6373,35,11532,10774,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7878,5789,35,2089,1983,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17569,6061,47,11508,10585,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
8097,6023,37,2074,1967,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18112,6499,47,11612,10708,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17958,6309,35,11635,10872,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18064,6270,39,11793,10980,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
9722,7460,47,2258,2122,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18667,6164,46,12502,11596,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
8102,6077,35,2024,1915,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
9901,7634,47,2266,2127,1,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
15769,6140,48,9621,9274,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18225,6176,46,12043,11209,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17791,6118,46,11672,10740,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17832,6256,34,11575,10795,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17681,6222,36,11456,10645,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18994,6668,47,12324,11415,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18411,6111,47,12299,11529,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17765,6189,46,11573,10728,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17722,6203,47,11518,10679,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17868,6126,46,11742,10905,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
19835,7422,46,12412,11485,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18131,6398,47,11733,10868,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17586,6403,48,11182,10413,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18072,6373,35,11699,10954,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18376,6176,34,12199,11400,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17322,6298,48,11023,10210,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17370,6372,35,10997,10233,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18756,7054,46,11700,10863,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17541,6456,45,11084,10718,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18223,6373,47,11837,10919,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17677,6133,46,11543,10718,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18213,6160,46,12051,11213,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18624,6253,46,12370,11530,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18168,6434,46,11733,10943,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17849,6249,35,11599,10845,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18129,6213,35,11915,11138,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18404,6191,47,12212,11367,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
19543,7031,47,12511,11651,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15678,6126,35,9551,9235,1,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18208,6147,46,12060,11227,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17576,6146,46,11429,10599,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17201,6301,35,10900,10131,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17645,6187,34,11457,10684,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18176,6108,45,12068,11245,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16731,6134,38,10597,10271,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
8119,5997,34,2122,2011,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17742,6275,50,11465,10624,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18221,6357,45,11863,11039,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18455,6023,45,12424,11594,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17260,6178,34,11082,10313,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
8222,6083,35,2139,2035,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17752,6308,46,11443,10665,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17705,6282,35,11411,10662,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18285,6013,44,12272,11446,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17474,5948,46,11525,10753,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17494,6252,47,11241,10403,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7961,5931,41,2030,1921,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
15788,5787,48,10000,9652,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17582,6019,46,11563,10609,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17359,6257,47,11101,10259,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7825,5734,30,2089,1916,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17296,5604,45,11693,10773,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17121,5833,46,11286,10449,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15833,5964,48,9868,9531,1,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18223,5844,46,12378,11441,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17684,5952,41,11731,10897,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7998,5969,34,2016,1912,1,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17143,5878,30,11264,10523,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17870,5922,46,11949,11118,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18143,5882,48,12260,11447,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17443,5917,46,11513,10633,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17071,6121,34,10950,10207,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17648,6051,30,11597,10843,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17659,5635,43,12023,11204,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17281,5863,42,11416,10591,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17326,6260,43,11066,10243,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7569,5563,30,2006,1907,1,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17687,5769,41,11917,11105,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16339,5967,41,10372,10046,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17274,6128,42,11146,10322,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17424,5962,47,11461,10545,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7536,5525,30,2011,1910,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
7711,5692,33,2019,1916,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17748,5808,41,11939,11121,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18160,5769,41,12389,11585,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18020,5943,47,12076,11237,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7716,5683,34,2031,1930,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17027,5703,36,11323,10570,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17285,5490,53,11793,10964,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18132,5904,44,12228,11410,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16887,5727,45,11161,10328,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16132,5981,46,10138,9744,1,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17894,5863,46,12030,11266,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17274,5963,31,11311,10392,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16885,5993,46,10892,10071,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17557,6070,34,11488,10750,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17862,6024,34,11836,11036,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18142,5738,44,12404,11581,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15858,5718,32,10139,9795,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18630,6569,41,12060,11237,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17853,5733,43,12119,11300,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17378,5656,33,11722,10963,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17193,5963,45,11229,10395,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
