Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
3666,1870,1619,1780,120,1,571,19,1,4,2,1,5,1,0,9,11,10,0,1,6,10
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
756,315,408,440,28,0,571,19,1,4,2,1,5,1,0,9,11,10,0,1,6,10
935,335,571,599,25,1,571,19,1,4,2,1,5,1,0,9,11,10,0,1,6,10
6331,1671,1704,4653,2408,4,16799,447,5,16,6,4,15,1,0,12,46,28,0,1,14,23
2677,926,1015,1750,597,0,9284,314,3,10,4,4,13,1,0,15,35,24,0,1,12,21
7306,935,656,6359,5108,10,33374,697,5,10,4,17,17,6,2,15,61,39,0,1,15,84
2263,949,959,1313,279,0,5043,162,3,10,4,1,11,1,0,15,25,20,0,1,11,16
9888,1752,2185,8126,5344,1,22305,699,6,19,7,7,15,1,0,15,53,28,0,1,16,26
288070,967,710,287098,262957,2,164971,2551,14,10,4,29,21,10,5,15,128,54,2,1,24,126
1542,775,678,768,64,0,2433,65,2,7,3,1,8,1,0,12,20,15,0,1,9,13
277608,2157,929,275441,248861,2,192121,2809,13,20,7,23,25,11,8,15,120,62,2,1,26,114
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
761,285,463,15,11,0,571,19,1,4,2,1,5,1,0,9,11,10,0,1,6,10
71436,2252,1156,69172,62123,2,126566,3389,8,23,8,23,22,9,6,15,102,60,2,1,21,111
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
558,258,287,300,10,0,571,19,1,4,2,1,5,1,0,9,11,10,0,1,6,10
1730,736,778,990,166,1,4543,137,3,10,4,1,11,1,0,12,25,20,0,1,10,16
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
17000,2100,2148,14897,11305,1,37044,1358,8,25,9,8,16,1,0,15,68,32,0,1,18,28
382165,2005,1050,380157,349883,2,231580,3681,13,22,8,39,29,10,4,15,136,72,2,1,24,159
244906,1386,1157,243519,222146,1,229270,3619,12,16,6,30,36,12,8,15,124,76,1,1,25,71
141500,739,289,140759,125482,1,144312,2562,11,8,3,27,20,9,6,15,114,53,2,1,24,51
844088,1252,859,842832,767352,1,277316,4605,16,16,6,28,23,11,8,15,154,58,2,1,31,123
425940,2345,1873,423589,391869,0,226421,3626,16,26,9,23,25,11,8,15,136,62,2,1,27,52
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
1789,734,814,1054,189,0,4592,113,3,10,4,4,10,1,0,12,24,19,0,1,11,18
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
