Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
550884,6729,280,544054,536436,37,150446,1055,10,88,11,1,66,1,0,68,272,69,0,1,9,63
12139,2303,76,9823,9296,9,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
17718,2581,118,15122,14379,1,28534,307,6,28,7,1,34,1,0,36,96,37,0,1,9,42
33837,2541,75,31264,30244,4,42146,411,7,37,8,1,39,1,0,41,125,42,0,1,9,42
667037,9259,175,657684,650553,57,165004,1107,10,91,11,1,70,1,0,72,282,73,0,1,9,63
15704,2735,59,12967,12393,0,28534,307,6,28,7,1,34,1,0,36,96,37,0,1,9,42
329300,5040,205,324209,319925,16,130546,925,9,73,10,1,66,1,0,68,236,69,0,1,9,63
38071,2314,110,35746,34751,1,44165,424,8,40,9,1,39,1,0,41,131,42,0,1,9,42
33243,2369,72,30867,29844,1,37433,391,8,40,9,1,34,1,0,36,126,37,0,1,9,42
30652,2959,68,27681,26796,0,35654,378,7,36,8,1,34,1,0,36,120,37,0,1,9,42
1090980,7472,176,1083453,1072885,35,186925,1270,13,115,14,1,66,1,0,68,338,69,0,1,9,63
32226,2361,83,29851,28895,0,37433,391,8,40,9,1,34,1,0,36,126,37,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
13739,2428,83,11311,10666,0,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
14819,3098,54,9804,11085,0,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
30790,2606,271,28182,27016,1,35654,378,7,37,8,1,34,1,0,36,120,37,0,1,9,42
37551,2434,73,35115,33853,0,44165,424,8,40,9,1,39,1,0,41,131,42,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
249846,5338,104,234047,239936,3,104404,802,9,73,10,1,57,1,0,59,217,60,0,1,9,70
233508,4140,91,229366,226161,1,93512,758,9,72,10,1,52,1,0,54,212,55,0,1,9,70
14661,2429,62,12230,11682,1,32047,327,5,26,6,1,39,1,0,41,95,42,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
67157,3410,92,36519,62042,5,61378,525,8,42,9,1,48,1,0,50,150,51,0,1,9,42
34411,2387,72,32020,31053,0,37433,391,8,39,9,1,34,1,0,36,126,37,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
17632,2337,85,15282,14636,1,34066,340,6,28,7,1,39,1,0,41,101,42,0,1,9,42
249620,4816,107,232311,241123,5,104404,802,9,74,10,1,57,1,0,59,217,60,0,1,9,70
13361,2476,40,10882,10285,2,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
35793,2477,114,33309,32211,1,42146,411,7,37,8,1,39,1,0,41,125,42,0,1,9,42
11781,1971,56,9809,9351,1,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
16408,2040,56,14361,13738,1,34066,340,6,28,7,1,39,1,0,41,101,42,0,1,9,42
105161,3052,80,102100,99655,1,71187,603,9,52,10,1,48,1,0,50,174,51,0,1,9,42
3222310,14498,169,3207796,3184976,8,366731,1943,12,150,13,1,102,1,0,104,436,105,0,1,9,63
34901,2403,68,32473,31508,24,37433,391,8,40,9,1,34,1,0,36,126,37,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
43226,2775,102,29358,38964,0,44165,424,8,40,9,1,39,1,0,41,131,42,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
22839,3997,125,18831,18049,0,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
26059,4752,114,21305,19948,1,28534,307,6,29,7,1,34,1,0,36,96,37,0,1,9,42
274480,5215,115,268579,265353,4,107289,824,9,75,10,1,57,1,0,59,223,60,0,1,9,70
257212,5469,100,251724,247379,1,104404,802,9,72,10,1,57,1,0,59,217,60,0,1,9,70
