Target ROCA size,Alphabet size,Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Counter limit,Result ROCA size
1,1,28,16,2,12,1,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,4,3,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,2,0,1,2,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,3,2,1,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,0,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,11,2,1,7,2,0,5,6,2,4,3,1,0,1,1,2,3,1,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,5,2,0,3,2,0,5,6,2,4,3,1,0,1,1,2,3,1,1,0,1,2
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,1,0,1,1,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,4,3,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,3,1,1,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,8,6,0,2,1,0,5,6,2,4,3,1,0,1,1,2,3,1,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,1,1,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,5,4,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,4,2,0,1,1,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,0,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,0,0,0,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,0,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,2,2,1,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,0,0,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,2,2,0,0,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,0,0,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,3,2,0,0,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,5,4,0,0,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,8,8,0,0,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,2,1,0,2,0,0,5,6,2,4,3,1,0,1,1,2,3,1,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,0,2,0,0,5,6,2,4,3,1,0,1,1,2,3,1,1,0,1,2
1,1,1,0,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,1,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,1,1,0,0,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,3,1,1,2,2,1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
