Target ROCA size,Alphabet size,Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result ROCA size
1,2,2,1,0,1,0,0,11,7,2,4,3,1,0,1,1,2,3,1,1,0,2
1,2,0,0,0,1,0,0,3,1,1,2,2,0,0,0,0,0,1,1,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,13,2,0,11,6,0,59,33,4,9,5,4,0,4,1,6,11,4,0,1,2
1,2,3,0,0,3,0,0,3,1,1,2,2,0,0,0,0,0,1,1,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,1,0,0,1,0,0,5,1,1,2,2,1,0,0,0,0,2,1,0,1,1
1,2,2,0,2,2,0,0,11,7,2,4,3,1,0,1,1,2,3,1,1,0,2
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,1,0,0,1,1,0,5,1,1,2,2,1,0,0,0,0,2,1,0,1,1
1,2,0,0,0,1,1,0,5,1,1,2,2,1,0,0,0,0,2,1,0,1,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,2,0,1,3,1,0,11,7,2,4,3,1,0,1,1,2,3,1,1,0,2
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,1,0,0,3,1,1,2,2,0,0,0,0,0,1,1,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,3,1,1,2,2,0,0,0,0,0,1,1,0,0,1
1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,9,0,2,3,0,0,11,7,2,4,3,1,0,1,1,2,3,1,1,0,2
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,2,1,0,0,0,0,5,1,1,2,2,1,0,0,0,0,2,1,0,1,1
1,2,6,0,1,6,3,0,59,33,4,9,5,4,0,4,1,6,11,4,0,1,2
1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,10,1,0,6,4,0,71,48,4,9,5,4,0,7,4,6,11,4,1,1,2
1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
