Target ROCA size,Alphabet size,Timeouts,Errors,TotalTimeMean,TotalTimeMedian,ROCACexMean,ROCACexMedian,DFACexMean,DFACexMedian,LearningDFAMean,LearningDFAMedian,TableMean,TableMedian,DescriptionsMean,DescriptionsMedian,MQMean,MQMedian,CVQMean,CVQMedian,PEQMean,PEQMedian,EQMean,EQMedian,RoundsMean,RoundsMedian,OpennessMean,OpennessMedian,SigmaMean,SigmaMedian,BotMean,BotMedian,MismatchesMean,MismatchesMedian,LengthCexMean,LengthCexMedian,RMean,RMedian,SMean,SMedian,HatSMean,HatSMedian,HatSMinusSMean,HatSMinusSMedian,BinMean,BinMedian,TargetMean,TargetMedian
1,2,0,0,0.00116,0.0,0.00012,0.0,0.00015,0.0,0.00099,0.0,0.00037999999999999997,0.0,2e-05,0.0,9.9,3.0,5.71,1.0,1.0,1.0,2.57,2.0,2.0,2.0,0.75,0.0,0.0,0.0,0.7,0.0,0.37,0.0,0.92,0.0,2.08,1.0,0.87,1.0,1.06,1.0,0.19,0.0,0.29,0.0,1.24,1.0
2,2,0,0,0.0030299999999999997,0.0,0.00027,0.0,0.00010999999999999999,0.0,0.00301,0.0,0.00197,0.0,1e-05,0.0,175.04,11.0,73.25,4.0,2.17,1.5,6.0,2.5,2.98,2.0,1.84,1.0,0.62,0.0,3.95,1.0,2.86,0.0,3.21,2.0,7.87,3.0,2.73,2.0,5.72,2.0,2.99,0.0,0.53,1.0,2.81,2.0
3,2,0,0,0.26303,0.0,0.00217,0.0,0.00028000000000000003,0.0,0.25978999999999997,0.001,0.20513,0.0,0.00074,0.0,5525.92,42.5,1295.99,24.0,4.48,2.0,25.01,4.0,5.0,3.0,6.1,2.0,1.62,1.0,25.6,4.0,21.42,2.0,9.42,3.0,34.64,6.0,9.24,3.0,38.31,6.0,29.07,2.0,0.66,1.0,6.67,4.0
4,2,4,0,72.42156,0.006,0.29623958333333333,0.0005,0.00225,0.0,25.132260416666668,0.003,20.80990625,0.002,0.0040416666666666665,0.0,98010.9375,202.0,12653.78125,125.5,8.666666666666666,5.0,123.23958333333333,7.0,8.854166666666666,4.0,17.34375,4.5,3.6666666666666665,2.0,126.21875,8.5,116.69791666666667,7.0,20.760416666666668,7.5,126.14583333333333,15.5,23.302083333333332,7.0,197.80208333333334,13.5,174.5,6.0,0.6979166666666666,1.0,20.28125,9.0
5,2,17,1,220.9359595959596,0.019,0.6783292682926829,0.0,0.002146341463414634,0.0,17.222914634146342,0.003,13.385036585365851,0.0015,0.004548780487804878,0.0,87705.01219512195,265.5,18698.69512195122,151.0,8.951219512195122,4.0,119.35365853658537,7.0,8.71951219512195,4.0,19.402439024390244,5.0,3.9878048780487805,2.0,114.57317073170732,10.0,103.71951219512195,7.0,22.74390243902439,6.5,140.02439024390245,14.0,25.682926829268293,6.0,182.65853658536585,15.5,156.97560975609755,7.0,0.5609756097560976,1.0,24.902439024390244,9.5
6,2,39,2,511.68135714285717,47.9845,2.4429830508474577,0.005,0.005983050847457627,0.0,54.17077966101695,0.044,39.23074576271186,0.033,0.011016949152542373,0.0,195672.62711864407,3147.0,44234.69491525424,1056.0,11.35593220338983,7.0,174.91525423728814,28.0,11.525423728813559,7.0,28.45762711864407,10.0,7.033898305084746,3.0,237.88135593220338,38.0,223.98305084745763,27.0,27.966101694915253,13.0,194.23728813559322,43.0,40.898305084745765,14.0,421.3220338983051,44.0,380.4237288135593,24.0,0.7627118644067796,1.0,37.101694915254235,24.0
7,2,59,1,737.4812222222223,1200.0,2.916425,0.001,0.002725,0.0,52.08262499999999,0.01,40.677299999999995,0.006500000000000001,0.006075,0.0,258922.4,830.5,40648.85,435.5,12.175,5.0,197.25,11.0,12.1,4.5,33.225,11.5,6.625,3.0,231.9,20.5,216.8,15.5,38.15,9.5,297.175,25.5,45.825,12.0,395.3,34.0,349.475,21.5,0.725,1.0,46.825,17.0
8,2,68,1,833.1741515151515,1200.0,2.158741935483871,0.003,0.0021290322580645163,0.0,26.29909677419355,0.017,21.579548387096775,0.01,0.00435483870967742,0.0,155544.87096774194,1542.0,21744.290322580644,777.0,12.161290322580646,7.0,140.1290322580645,22.0,11.483870967741936,7.0,35.225806451612904,14.0,5.806451612903226,3.0,237.7741935483871,24.0,219.70967741935485,23.0,28.451612903225808,13.0,174.1290322580645,48.0,39.064516129032256,13.0,377.0,37.0,337.93548387096774,26.0,0.8709677419354839,1.0,47.354838709677416,25.0
9,2,77,2,947.4133775510204,1200.0,0.9947142857142857,0.002,0.002142857142857143,0.0,20.16347619047619,0.037,18.08528571428571,0.024,0.014095238095238095,0.0,103017.38095238095,1894.0,14940.47619047619,769.0,12.047619047619047,8.0,213.04761904761904,11.0,11.571428571428571,5.0,25.952380952380953,15.0,11.285714285714286,4.0,121.0,27.0,110.38095238095238,21.0,26.238095238095237,12.0,200.1904761904762,37.0,31.285714285714285,13.0,173.42857142857142,49.0,142.14285714285714,35.0,0.7619047619047619,1.0,44.0,22.0
10,2,81,1,987.2425050505051,1200.0,2.543555555555556,0.004,0.0015555555555555557,0.0,27.51983333333333,0.010499999999999999,23.10088888888889,0.008,0.005166666666666667,0.0,156385.38888888888,1271.0,19266.166666666668,477.0,11.444444444444445,5.0,132.94444444444446,7.5,10.166666666666666,4.0,26.555555555555557,14.0,10.444444444444445,4.0,186.77777777777777,18.5,177.0,15.5,26.88888888888889,8.0,198.72222222222223,31.0,31.22222222222222,11.5,302.05555555555554,37.5,270.8333333333333,26.0,0.8888888888888888,1.0,42.111111111111114,23.5
